Date,Diesel,Day,Month,Year,DayOfWeek_Num
24/12/2564,28.44,24,12,2021,4
22/12/2564,28.04,22,12,2021,2
15/12/2564,28.44,15,12,2021,2
10/12/2564,28.24,10,12,2021,4
2/12/2564,27.84,2,12,2021,3
1/12/2564,28.24,1,12,2021,2
29/11/2564,28.24,29,11,2021,0
24/11/2564,28.84,24,11,2021,2
20/11/2564,29.24,20,11,2021,5
19/11/2564,29.54,19,11,2021,4
16/11/2564,29.74,16,11,2021,1
10/11/2564,29.94,10,11,2021,2
1/11/2564,29.69,1,11,2021,0
28/10/2564,29.69,28,10,2021,3
23/10/2564,29.29,23,10,2021,5
20/10/2564,29.29,20,10,2021,2
19/10/2564,29.49,19,10,2021,1
16/10/2564,28.89,16,10,2021,5
15/10/2564,28.89,15,10,2021,4
11/10/2564,28.29,11,10,2021,0
5/10/2564,30.29,5,10,2021,1
30/09/2564,31.29,30,9,2021,3
28/09/2564,30.69,28,9,2021,1
24/09/2564,30.29,24,9,2021,4
18/09/2564,29.89,18,9,2021,5
16/09/2564,29.59,16,9,2021,3
15/09/2564,29.59,15,9,2021,2
4/9/2564,29.09,4,9,2021,5
26/08/2564,28.79,26,8,2021,3
21/08/2564,28.29,21,8,2021,5
18/08/2564,28.89,18,8,2021,2
12/8/2564,29.39,12,8,2021,3
7/8/2564,28.99,7,8,2021,5
30/07/2564,29.49,30,7,2021,4
28/07/2564,29.09,28,7,2021,2
23/07/2564,28.69,23,7,2021,4
13/07/2564,29.29,13,7,2021,1
10/7/2564,28.79,10,7,2021,5
3/7/2564,29.29,3,7,2021,5
26/06/2564,28.99,26,6,2021,5
24/06/2564,28.79,24,6,2021,3
16/06/2564,28.59,16,6,2021,2
11/6/2564,28.59,11,6,2021,4
26/05/2564,28.09,26,5,2021,2
22/05/2564,27.49,22,5,2021,5
19/05/2564,27.79,19,5,2021,2
17/05/2564,27.29,17,5,2021,0
13/05/2564,27.29,13,5,2021,3
7/5/2564,27.59,7,5,2021,4
30/04/2564,27.09,30,4,2021,4
24/04/2564,26.69,24,4,2021,5
20/04/2564,27.09,20,4,2021,1
17/04/2564,26.49,17,4,2021,5
31/03/2564,26.49,31,3,2021,2
27/03/2564,26.19,27,3,2021,5
24/03/2564,26.59,24,3,2021,2
20/03/2564,26.89,20,3,2021,5
18/03/2564,27.19,18,3,2021,3
17/03/2564,27.59,17,3,2021,2
16/03/2564,27.19,16,3,2021,1
13/03/2564,27.19,13,3,2021,5
9/3/2564,27.19,9,3,2021,1
6/3/2564,26.59,6,3,2021,5
3/3/2564,26.59,3,3,2021,2
20/02/2564,26.99,20,2,2021,5
17/02/2564,26.79,17,2,2021,2
10/2/2564,26.29,10,2,2021,2
6/2/2564,25.79,6,2,2021,5
4/2/2564,25.49,4,2,2021,3
19/01/2564,25.09,19,1,2021,1
16/01/2564,25.29,16,1,2021,5
14/01/2564,24.89,14,1,2021,3
12/1/2564,24.49,12,1,2021,1
9/1/2564,24.49,9,1,2021,5
6/1/2564,24.19,6,1,2021,2
22/12/2565,34.94,22,12,2022,3
21/12/2565,34.94,21,12,2022,2
16/12/2565,34.94,16,12,2022,4
15/12/2565,34.94,15,12,2022,3
10/12/2565,34.94,10,12,2022,5
9/12/2565,34.94,9,12,2022,4
7/12/2565,34.94,7,12,2022,2
3/12/2565,34.94,3,12,2022,5
30/11/2565,34.94,30,11,2022,2
26/11/2565,34.94,26,11,2022,5
22/11/2565,34.94,22,11,2022,1
17/11/2565,34.94,17,11,2022,3
11/11/2565,34.94,11,11,2022,4
8/11/2565,34.94,8,11,2022,1
5/11/2565,34.94,5,11,2022,5
4/11/2565,34.94,4,11,2022,4
28/10/2565,34.94,28,10,2022,4
22/10/2565,34.94,22,10,2022,5
8/10/2565,34.94,8,10,2022,5
1/10/2565,34.94,1,10,2022,5
30/09/2565,34.94,30,9,2022,4
28/09/2565,34.94,28,9,2022,2
27/09/2565,34.94,27,9,2022,1
23/09/2565,34.94,23,9,2022,4
20/09/2565,34.94,20,9,2022,1
17/09/2565,34.94,17,9,2022,5
14/09/2565,34.94,14,9,2022,2
10/9/2565,34.94,10,9,2022,5
7/9/2565,34.94,7,9,2022,2
3/9/2565,34.94,3,9,2022,5
2/9/2565,34.94,2,9,2022,4
25/08/2565,34.94,25,8,2022,3
20/08/2565,34.94,20,8,2022,5
18/08/2565,34.94,18,8,2022,3
16/08/2565,34.94,16,8,2022,1
9/8/2565,34.94,9,8,2022,1
6/8/2565,34.94,6,8,2022,5
4/8/2565,34.94,4,8,2022,3
2/8/2565,34.94,2,8,2022,1
28/07/2565,34.94,28,7,2022,3
26/07/2565,34.94,26,7,2022,1
23/07/2565,34.94,23,7,2022,5
19/07/2565,34.94,19,7,2022,1
15/07/2565,34.94,15,7,2022,4
14/07/2565,34.94,14,7,2022,3
9/7/2565,34.94,9,7,2022,5
8/7/2565,34.94,8,7,2022,4
2/7/2565,34.94,2,7,2022,5
29/06/2565,34.94,29,6,2022,2
22/06/2565,34.94,22,6,2022,2
14/06/2565,34.94,14,6,2022,1
8/6/2565,33.94,8,6,2022,2
7/6/2565,33.94,7,6,2022,1
1/6/2565,32.94,1,6,2022,2
31/05/2565,32.94,31,5,2022,1
28/05/2565,31.94,28,5,2022,5
24/05/2565,31.94,24,5,2022,1
20/05/2565,31.94,20,5,2022,4
19/05/2565,31.94,19,5,2022,3
16/05/2565,31.94,16,5,2022,0
12/5/2565,31.94,12,5,2022,3
7/5/2565,31.94,7,5,2022,5
6/5/2565,31.94,6,5,2022,4
4/5/2565,31.94,4,5,2022,2
1/5/2565,31.94,1,5,2022,6
29/04/2565,29.94,29,4,2022,4
27/04/2565,29.94,27,4,2022,2
23/04/2565,29.94,23,4,2022,5
19/04/2565,29.94,19,4,2022,1
9/4/2565,29.94,9,4,2022,5
8/4/2565,29.94,8,4,2022,4
5/4/2565,29.94,5,4,2022,1
2/4/2565,29.94,2,4,2022,5
31/03/2565,29.94,31,3,2022,3
29/03/2565,29.94,29,3,2022,1
26/03/2565,29.94,26,3,2022,5
23/03/2565,29.94,23,3,2022,2
22/03/2565,29.94,22,3,2022,1
17/03/2565,29.94,17,3,2022,3
15/03/2565,29.94,15,3,2022,1
10/3/2565,29.94,10,3,2022,3
9/3/2565,29.94,9,3,2022,2
8/3/2565,29.94,8,3,2022,1
5/3/2565,29.94,5,3,2022,5
4/3/2565,29.94,4,3,2022,4
2/3/2565,29.74,2,3,2022,2
26/02/2565,29.14,26,2,2022,5
24/02/2565,28.54,24,2,2022,3
19/02/2565,27.94,19,2,2022,5
18/02/2565,27.94,18,2,2022,4
16/02/2565,29.94,16,2,2022,2
12/2/2565,29.94,12,2,2022,5
8/2/2565,29.94,8,2,2022,1
2/2/2565,29.94,2,2,2022,2
28/01/2565,29.94,28,1,2022,4
25/01/2565,29.94,25,1,2022,1
20/01/2565,29.94,20,1,2022,3
14/01/2565,29.84,14,1,2022,4
11/1/2565,29.84,11,1,2022,1
8/1/2565,29.44,8,1,2022,5
5/1/2565,29.04,5,1,2022,2
29/12/2566,29.94,29,12,2023,4
22/12/2566,29.94,22,12,2023,4
19/12/2566,29.94,19,12,2023,1
9/12/2566,29.94,9,12,2023,5
7/12/2566,29.94,7,12,2023,3
5/12/2566,29.94,5,12,2023,1
22/11/2566,29.94,22,11,2023,2
18/11/2566,29.94,18,11,2023,5
16/11/2566,29.94,16,11,2023,3
15/11/2566,29.94,15,11,2023,2
10/11/2566,29.94,10,11,2023,4
9/11/2566,29.94,9,11,2023,3
7/11/2566,29.94,7,11,2023,1
1/11/2566,29.94,1,11,2023,2
31/10/2566,29.94,31,10,2023,1
