วันที่,ประเภท,สินค้า,หน่วย,ราคา ต่ำสุด,ราคา สูงสุด,ราคาเฉลี่ย
4/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
5/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
8/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
9/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
10/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
11/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
12/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
15/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
16/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
17/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
18/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
19/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
22/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
23/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,60,70,65
24/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,60,70,65
25/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,70,80,75
26/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,70,80,75
29/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,70,80,75
30/11/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,90,100,95
1/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,90,100,95
2/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,120,130,125
3/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,120,130,125
7/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,130,140,135
8/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,140,150,145
9/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,140,150,145
13/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,140,150,145
14/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,140,150,145
15/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,140,150,145
16/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,140,150,145
17/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,130,140,135
20/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,100,120,110
21/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,100,120,110
22/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,80,100,90
23/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,80,100,90
24/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,80,100,90
27/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,80,100,90
28/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,80,100,90
29/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,70,90,80
30/12/2564,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,80,100,90
4/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,80,100,90
5/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,70,90,80
6/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,60,80,70
7/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,60,80,70
10/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,60,80,70
11/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,60,80,70
12/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,70,60
13/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,70,60
14/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,70,60
17/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,60,50
18/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,60,50
19/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,60,50
20/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,60,50
21/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,60,50
24/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,60,50
25/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,60,50
26/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,60,50
27/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,60,50
28/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,60,50
31/1/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,50,45
1/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,50,45
2/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,50,45
3/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,50,45
4/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,40,50,45
7/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
8/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
9/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
10/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
11/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
12/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
13/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
14/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
15/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
16/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
17/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
18/2/2565,ขายปลีก,พริกขี้หนูจินดา (แดง) (บาท/กก.),บาท/กก.,50,60,55
