วันที่,ประเภท,สินค้า,หน่วย,ราคา ต่ำสุด,ราคา สูงสุด,ราคาเฉลี่ย
4/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,250,270,260
5/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,240,260,250
8/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,210,230,220
9/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,200,210,205
10/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,200,210,205
11/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,200,210,205
12/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,200,210,205
15/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,200,210,205
16/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,190,200,195
17/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,170,180,175
18/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,170,180,175
19/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,140,150,145
22/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,140,150,145
23/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,120,130,125
24/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,100,110,105
25/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,90,100,95
26/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,90,100,95
29/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,100,110,105
30/11/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,110,120,115
1/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,110,120,115
2/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,100,110,105
3/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,90,100,95
7/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,90,100,95
8/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,80,90,85
9/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,80,90,85
13/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,60,55
14/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,40,50,45
15/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,40,50,45
16/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,40,50,45
17/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,40,50,45
20/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,30,40,35
21/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,40,50,45
22/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,40,50,45
23/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,40,50,45
24/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,35,40,37.5
27/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,35,40,37.5
28/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,30,35,32.5
29/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,40,45,42.5
30/12/2564,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,40,45,42.5
4/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,55,60,57.5
5/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,45,50,47.5
6/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,45,50,47.5
7/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,45,50,47.5
10/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,45,50,47.5
11/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,55,52.5
12/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,55,52.5
13/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,55,52.5
14/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,55,52.5
17/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,55,52.5
18/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,60,65,62.5
19/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,55,52.5
20/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,55,52.5
21/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,55,52.5
24/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,65,70,67.5
25/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,60,55
26/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,60,55
27/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,60,55
28/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,60,55
31/1/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,50,60,55
1/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,90,100,95
2/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,90,100,95
3/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,90,100,95
4/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,90,100,95
7/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,90,100,95
8/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,110,120,115
9/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,120,130,125
10/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,120,130,125
11/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,120,130,125
12/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,120,130,125
13/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,120,130,125
14/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,110,120,115
15/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,100,110,105
16/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,100,110,105
17/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,100,110,105
18/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,110,120,115
19/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,130,140,135
20/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,110,120,115
21/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,110,120,115
22/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,100,110,105
23/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,110,120,115
24/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,120,130,125
25/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,140,150,145
26/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,140,150,145
27/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,140,150,145
28/2/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,160,170,165
1/3/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,170,180,175
2/3/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,150,160,155
3/3/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,130,140,135
4/3/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,110,120,115
5/3/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,100,110,105
6/3/2565,ขายปลีก,ผักชี คละ (บาท/กก.),บาท/กก.,90,100,95
