วันที่,ประเภท,สินค้า,หน่วย,ราคา ต่ำสุด,ราคา สูงสุด,ราคาเฉลี่ย
4/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
5/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
6/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
7/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
8/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
11/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
12/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
13/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3.2,3.3,3.25
14/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3.2,3.3,3.25
15/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3.2,3.3,3.25
18/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3.2,3.3,3.25
19/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3.2,3.3,3.25
20/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3.2,3.3,3.25
21/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3.2,3.3,3.25
22/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3.2,3.3,3.25
25/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3.2,3.3,3.25
26/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3.2,3.3,3.25
27/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
28/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
29/1/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
1/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
2/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
3/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
4/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
5/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
8/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
9/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
10/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
11/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
15/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
16/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
17/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
18/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
19/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
22/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
23/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
24/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
25/2/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
1/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
2/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
3/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
4/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
5/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
8/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
9/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
10/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
11/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
12/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
15/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
16/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
17/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
18/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
19/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
22/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
23/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
24/3/2564,ขายปลีก,ไข่ไก่ เบอร์ 3,บาท/ฟอง,3,3.1,3.05
