วันที่,ประเภท,สินค้า,หน่วย,ราคา ต่ำสุด,ราคา สูงสุด,ราคาเฉลี่ย
4/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
5/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
6/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
7/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
8/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
11/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
12/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
13/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
14/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
15/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
18/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
19/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
20/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
21/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
22/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
25/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
26/1/2564,ขายปลีก,กระเทียมแห้ง มัดจุก หัวกลาง,บาท/ กก.,80,85,82.5
