วันที่,ประเภท,สินค้า,หน่วย,ราคา ต่ำสุด,ราคา สูงสุด,ราคาเฉลี่ย
4/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
5/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
6/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
7/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
8/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
11/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
12/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
13/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
14/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
15/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
18/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
19/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
20/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
21/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
22/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
25/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
26/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
27/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
28/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
29/1/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
1/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
2/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
3/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
4/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
5/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
8/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
9/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
10/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
11/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
15/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
16/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
17/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
18/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
19/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
22/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
23/2/2564,ขายปลีก,มะนาว เบอร์ 3-4,บาท/ผล,2,2.5,2.25
