วันที่,ประเภท,สินค้า,หน่วย,ราคา ต่ำสุด,ราคา สูงสุด,ราคาเฉลี่ย
1/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
2/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
3/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
4/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
5/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
8/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
9/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
10/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
11/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
15/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
16/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
17/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
18/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
19/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
22/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
23/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
24/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
25/2/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
1/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
2/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
3/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
4/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
5/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
8/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
9/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
10/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
11/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
12/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
15/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
16/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
17/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
18/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
19/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
22/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
23/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
24/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
25/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
26/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
29/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
30/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
31/3/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
1/4/2564,ขายปลีก,หอมหัวใหญ่ ห้องเย็น เบอร์ 2,บาท/ กก.,30,40,35
