วันที่,ประเภท,สินค้า,หน่วย,ราคา ต่ำสุด,ราคา สูงสุด,ราคาเฉลี่ย
4/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
5/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
6/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
7/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
8/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
11/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
12/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
13/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
14/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
15/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
18/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
19/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
20/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
21/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
22/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
25/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
26/1/2564,ขายปลีก,ถั่วลิสงกะเทาะเปลือก คัดธรรมดา,บาท/ กก.,68,72,70
