วันที่,ประเภท,สินค้า,หน่วย,ราคา ต่ำสุด,ราคา สูงสุด,ราคาเฉลี่ย
4/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,220,230,225
5/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,220,230,225
6/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,220,230,225
7/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,220,230,225
8/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,220,230,225
11/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
12/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
13/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
14/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
15/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
18/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
19/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
20/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
21/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
22/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
25/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
26/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
27/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
28/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
29/1/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
1/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
2/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
3/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
4/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
5/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
8/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
9/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
10/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
11/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
15/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
16/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
17/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
18/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
19/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
22/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
23/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
24/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
25/2/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
1/3/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
2/3/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
3/3/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
4/3/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
5/3/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
8/3/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
9/3/2564,ขายปลีก,กุ้งขาว (60 ตัว/กก.),บาท/กก.,210,220,215
