วันที่,ประเภท,สินค้า,หน่วย,ราคา ต่ำสุด,ราคา สูงสุด,ราคาเฉลี่ย
4/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,80,90,85
5/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,70,80,75
8/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,90,100,95
9/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,90,100,95
10/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,90,100,95
11/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,80,90,85
12/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,70,80,75
15/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,70,80,75
16/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,60,70,65
17/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,70,80,75
18/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,70,80,75
19/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,70,80,75
22/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,60,70,65
23/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,60,70,65
24/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,50,60,55
25/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,50,60,55
26/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,50,60,55
29/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,50,60,55
30/11/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,50,60,55
1/12/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,50,60,55
2/12/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,50,60,55
3/12/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,50,60,55
7/12/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,50,60,55
8/12/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,50,60,55
9/12/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,50,60,55
13/12/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,50,60,55
14/12/2564,ขายปลีก,ต้นหอม คละ (บาท/กก.),บาท/กก.,40,50,45
