วันที่,ประเภท,สินค้า,หน่วย,ราคา ต่ำสุด,ราคา สูงสุด,ราคาเฉลี่ย
4/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
5/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
6/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
7/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
8/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
11/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
12/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
13/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
14/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
15/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
18/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
19/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
20/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
21/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
22/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
25/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
26/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
27/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
28/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
29/1/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
1/2/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,90,100,95
2/2/2564,ขายปลีก,มะขามเปียก แกะเมล็ด,บาท/ กก.,80,90,85
