วันที่,บาท/ลิตร,,,,,,
,ไฮ พรีเมียม ยูโร 5 ดีเซล S,ไฮดีเซล,ไฮ พรีเมียม ยูโร 5 แก๊สโซฮอล์ 95++ 97,แก๊สโซฮอล์ EVO E85s,แก๊สโซฮอล์ EVO E20s,แก๊สโซฮอล์ EVO 91s,แก๊สโซฮอล์ EVO 95s
29/12/2566,43.64,29.94,47.24,33.29,33.14,33.48,35.25
22/12/2566,43.64,29.94,47.24,33.59,33.44,33.78,35.55
19/12/2566,43.64,29.94,46.84,33.19,33.04,33.38,35.15
9/12/2566,43.64,29.94,46.44,32.79,32.64,32.98,34.75
7/12/2566,43.64,29.94,46.84,33.19,33.04,33.38,35.15
5/12/2566,43.64,29.94,47.34,33.69,33.54,33.88,35.65
22/11/2566,43.64,29.94,47.74,34.09,33.94,34.28,36.05
18/11/2566,43.64,29.94,47.74,34.49,34.34,34.68,36.45
16/11/2566,43.64,29.94,48.34,35.09,34.94,35.28,37.05
15/11/2566,43.64,29.94,47.94,34.69,34.54,34.88,36.65
10/11/2566,43.64,29.94,47.94,34.29,34.14,34.48,36.25
9/11/2566,43.64,29.94,48.34,34.69,34.54,34.88,36.65
7/11/2566,43.64,29.94,48.94,35.29,35.14,35.48,37.25
1/11/2566,43.64,29.94,49.84,36.09,35.94,37.98,38.25
31/10/2566,43.64,29.94,49.84,36.39,36.24,38.28,38.55
21/10/2566,43.34,29.94,49.24,36.09,35.94,37.98,38.25
17/10/2566,42.94,29.94,48.84,35.69,35.54,37.58,37.85
11/10/2566,42.94,29.94,48.84,35.99,35.84,37.88,38.15
7/10/2566,42.34,29.94,48.44,35.59,35.44,37.48,37.75
6/10/2566,42.34,29.94,48.94,35.59,35.94,37.98,38.25
4/10/2566,42.34,29.94,49.34,36.09,36.44,38.48,38.75
3/10/2566,42.34,29.94,49.34,36.49,36.84,38.88,39.15
27/09/2566,42.34,29.94,49.34,36.79,37.14,39.18,39.45
23/09/2566,42.34,29.94,49.34,37.29,37.64,39.68,39.95
20/09/2566,42.34,29.94,49.34,37.79,38.14,40.18,40.45
16/09/2566,44.34,31.94,49.34,37.79,38.14,40.18,40.45
15/09/2566,44.34,31.94,49.34,37.79,37.74,39.78,40.05
12/9/2566,43.94,31.94,49.34,37.79,37.34,39.38,39.65
2/9/2566,43.64,31.94,49.04,37.49,37.04,39.08,39.35
1/9/2566,43.64,31.94,49.04,37.79,37.34,39.38,39.65
29/08/2566,43.64,31.94,49.04,38.19,37.74,39.78,40.05
12/8/2566,43.14,31.94,48.54,37.69,37.24,39.28,39.55
9/8/2566,42.44,31.94,47.84,36.99,36.54,38.58,38.85
5/8/2566,42.44,31.94,47.44,36.69,36.24,38.28,38.55
3/8/2566,42.44,31.94,47.44,37.09,36.64,38.68,38.95
26/07/2566,41.44,31.94,46.74,36.49,36.04,38.08,38.35
25/07/2566,41.44,31.94,46.74,36.09,35.64,37.68,37.95
22/07/2566,40.94,31.94,46.74,35.69,35.24,37.28,37.55
20/07/2566,39.94,31.94,46.74,35.39,34.94,36.98,37.25
19/07/2566,39.94,31.94,46.74,35.09,34.64,36.68,36.95
18/07/2566,39.94,31.94,46.74,35.39,34.94,36.98,37.25
15/07/2566,39.94,31.94,46.74,35.09,34.64,36.68,36.95
14/07/2566,39.94,31.94,46.74,34.79,34.34,36.38,36.65
13/07/2566,39.94,31.94,46.74,34.49,34.04,36.08,36.35
11/7/2566,39.94,31.94,46.74,34.19,33.74,35.78,36.05
8/7/2566,39.94,31.94,46.74,33.69,33.24,35.28,35.55
6/7/2566,39.94,31.94,46.34,33.29,32.84,34.88,35.15
4/7/2566,39.94,31.94,46.84,33.79,33.34,35.38,35.65
2/7/2566,39.94,31.94,46.34,33.29,32.84,34.88,35.15
27/06/2566,41.16,31.94,46.34,33.29,32.84,34.88,35.15
20/06/2566,41.16,31.94,46.64,33.59,33.14,35.18,35.45
17/06/2566,41.16,31.94,46.14,33.09,32.64,34.68,34.95
14/06/2566,41.16,31.94,46.44,33.39,32.94,34.98,35.25
10/6/2566,41.16,31.94,46.94,33.89,33.44,35.48,35.75
7/6/2566,41.16,31.94,46.34,33.39,32.94,34.98,35.25
2/6/2566,41.16,31.94,45.74,32.79,32.34,34.38,34.65
30/05/2566,41.16,31.94,46.24,33.29,32.84,34.88,35.15
26/05/2566,41.16,31.94,46.54,33.59,33.14,35.18,35.45
23/05/2566,41.16,31.94,46.04,33.19,32.74,34.78,35.05
16/05/2566,41.16,31.94,45.74,32.89,32.44,34.48,34.75
15/05/2566,41.16,31.94,46.14,33.29,32.84,34.88,35.15
13/05/2566,41.66,32.44,46.14,33.29,32.84,34.88,35.15
11/5/2566,41.66,32.44,45.74,32.89,32.44,34.48,34.75
9/5/2566,41.66,32.44,46.04,33.19,32.74,34.78,35.05
4/5/2566,41.66,32.44,46.54,33.79,33.34,35.38,35.65
29/04/2566,42.16,32.94,46.54,33.79,33.34,35.38,35.65
28/04/2566,42.16,32.94,46.54,34.09,33.64,35.68,35.95
27/04/2566,42.16,32.94,46.94,34.69,34.24,36.28,36.55
26/04/2566,42.16,32.94,46.34,34.29,33.84,35.88,36.15
22/04/2566,42.16,32.94,46.34,34.59,34.14,36.18,36.45
20/04/2566,42.16,32.94,46.74,34.99,34.54,36.58,36.85
7/4/2566,42.16,32.94,47.14,35.39,34.94,36.98,37.25
6/4/2566,42.66,33.44,47.14,35.39,34.94,36.98,37.25
5/4/2566,42.66,33.44,46.54,34.79,34.34,36.38,36.65
4/4/2566,42.66,33.44,45.94,34.19,33.74,35.78,36.05
30/03/2566,42.66,33.44,46.24,34.49,34.04,36.08,36.35
25/03/2566,42.66,33.44,45.64,33.89,33.44,35.48,35.75
24/03/2566,42.66,33.44,45.24,33.49,33.04,35.08,35.35
22/03/2566,43.16,33.94,44.74,32.99,32.54,34.58,34.85
18/03/2566,43.16,33.94,45.34,33.59,33.14,35.18,35.45
14/03/2566,43.16,33.94,45.34,34.19,33.74,35.78,36.05
10/3/2566,43.16,33.94,45.34,34.49,34.04,36.08,36.35
8/3/2566,43.16,33.94,45.34,34.99,34.54,36.58,36.85
28/02/2566,43.16,33.94,44.84,34.49,34.04,36.08,36.35
25/02/2566,43.16,33.94,44.44,33.99,33.54,35.58,35.85
23/02/2566,43.16,33.94,44.44,34.49,34.04,36.08,36.35
22/02/2566,43.16,33.94,44.24,34.19,33.74,35.78,36.05
21/02/2566,43.16,34.44,44.24,34.19,33.74,35.78,36.05
18/02/2566,43.16,34.44,44.24,34.69,34.24,36.28,36.55
15/02/2566,43.16,34.44,43.84,34.39,33.94,35.98,36.25
10/2/2566,43.66,34.94,43.84,34.39,33.94,35.98,36.25
9/2/2566,43.66,34.94,43.64,34.39,33.94,35.58,35.85
8/2/2566,43.66,34.94,43.64,33.89,33.44,35.08,35.35
4/2/2566,43.66,34.94,43.64,34.19,33.74,35.38,35.65
2/2/2566,43.66,34.94,43.64,34.49,34.04,35.68,35.95
1/2/2566,43.66,34.94,43.64,34.79,34.34,35.98,36.25
31/01/2566,43.66,34.94,43.64,35.19,34.74,36.38,36.65
26/01/2566,43.66,34.94,43.34,35.19,34.74,36.38,36.65
24/01/2566,43.66,34.94,43.34,35.59,35.14,36.78,37.05
21/01/2566,43.66,34.94,43.34,35.29,34.84,36.48,36.75
20/01/2566,43.66,34.94,43.34,34.69,34.24,35.88,36.15
17/01/2566,43.66,34.94,43.04,34.09,33.64,35.28,35.55
14/01/2566,43.66,34.94,42.54,33.79,33.34,34.98,35.25
13/01/2566,43.66,34.94,42.24,33.29,32.84,34.48,34.75
7/1/2566,43.66,34.94,42.24,32.99,32.54,34.18,34.45
