Date,Province,Role,Temperature_C,Rainfall_mm,Humidity_Percent,Soil_Moisture
1/1/2021,PathumThani_Hub,Market_Consumer,22.08,0,52.29,0.29
2/1/2021,PathumThani_Hub,Market_Consumer,22.73,0,52.92,0.29
3/1/2021,PathumThani_Hub,Market_Consumer,24,0,56.33,0.29
4/1/2021,PathumThani_Hub,Market_Consumer,25.47,0,58.04,0.29
5/1/2021,PathumThani_Hub,Market_Consumer,26.65,0,58.83,0.29
6/1/2021,PathumThani_Hub,Market_Consumer,27.16,0,63.83,0.28
7/1/2021,PathumThani_Hub,Market_Consumer,26.94,0,64.75,0.28
8/1/2021,PathumThani_Hub,Market_Consumer,26.6,0,63.62,0.28
9/1/2021,PathumThani_Hub,Market_Consumer,23.93,0,59.83,0.28
10/1/2021,PathumThani_Hub,Market_Consumer,23.68,0,63,0.28
11/1/2021,PathumThani_Hub,Market_Consumer,23.52,0,61,0.27
12/1/2021,PathumThani_Hub,Market_Consumer,20.67,0,50.12,0.29
13/1/2021,PathumThani_Hub,Market_Consumer,20.64,0,46.62,0.28
14/1/2021,PathumThani_Hub,Market_Consumer,22.45,0,55.21,0.28
15/1/2021,PathumThani_Hub,Market_Consumer,23.63,0,64.08,0.28
16/1/2021,PathumThani_Hub,Market_Consumer,24.43,0,70.88,0.27
17/1/2021,PathumThani_Hub,Market_Consumer,25.23,0,69.83,0.27
18/1/2021,PathumThani_Hub,Market_Consumer,23.29,0,56.17,0.27
19/1/2021,PathumThani_Hub,Market_Consumer,22,0,53.38,0.27
20/1/2021,PathumThani_Hub,Market_Consumer,23.22,0,57.17,0.27
21/1/2021,PathumThani_Hub,Market_Consumer,23.76,0,57.62,0.26
22/1/2021,PathumThani_Hub,Market_Consumer,24.38,0,62.17,0.27
23/1/2021,PathumThani_Hub,Market_Consumer,25.49,0,61.21,0.27
24/1/2021,PathumThani_Hub,Market_Consumer,26.3,0,67.21,0.26
25/1/2021,PathumThani_Hub,Market_Consumer,27.13,0.1,72.67,0.26
26/1/2021,PathumThani_Hub,Market_Consumer,27.85,0,70.17,0.26
27/1/2021,PathumThani_Hub,Market_Consumer,28.45,0,70.29,0.26
28/1/2021,PathumThani_Hub,Market_Consumer,28.51,0,67.96,0.26
29/1/2021,PathumThani_Hub,Market_Consumer,27.3,0,54.21,0.26
30/1/2021,PathumThani_Hub,Market_Consumer,26.86,0,57.46,0.26
31/1/2021,PathumThani_Hub,Market_Consumer,26.62,0,57.29,0.26
1/2/2021,PathumThani_Hub,Market_Consumer,27.55,0,55.88,0.27
2/2/2021,PathumThani_Hub,Market_Consumer,27.93,0,60.38,0.28
3/2/2021,PathumThani_Hub,Market_Consumer,28.19,0,57,0.27
4/2/2021,PathumThani_Hub,Market_Consumer,26.98,0,59.5,0.27
5/2/2021,PathumThani_Hub,Market_Consumer,26.59,0,49.17,0.27
6/2/2021,PathumThani_Hub,Market_Consumer,26.97,0,54.75,0.27
7/2/2021,PathumThani_Hub,Market_Consumer,27.88,0,58.67,0.26
8/2/2021,PathumThani_Hub,Market_Consumer,27.4,2.8,77.42,0.27
9/2/2021,PathumThani_Hub,Market_Consumer,25.56,11.3,82.88,0.41
10/2/2021,PathumThani_Hub,Market_Consumer,25.65,1.4,70.04,0.41
11/2/2021,PathumThani_Hub,Market_Consumer,25.56,0,63.08,0.38
12/2/2021,PathumThani_Hub,Market_Consumer,25.65,0,59.88,0.35
13/2/2021,PathumThani_Hub,Market_Consumer,26.43,0,64.29,0.32
14/2/2021,PathumThani_Hub,Market_Consumer,27,0.1,70.83,0.31
15/2/2021,PathumThani_Hub,Market_Consumer,26.67,0.9,73.67,0.3
16/2/2021,PathumThani_Hub,Market_Consumer,27.46,0.4,74.54,0.3
17/2/2021,PathumThani_Hub,Market_Consumer,27.3,4.4,78.67,0.3
18/2/2021,PathumThani_Hub,Market_Consumer,26.99,0.1,62.17,0.3
19/2/2021,PathumThani_Hub,Market_Consumer,26.42,0,48.92,0.3
20/2/2021,PathumThani_Hub,Market_Consumer,25.62,0,51.83,0.29
21/2/2021,PathumThani_Hub,Market_Consumer,25.79,0,57.21,0.3
22/2/2021,PathumThani_Hub,Market_Consumer,26.43,0,68.62,0.29
23/2/2021,PathumThani_Hub,Market_Consumer,27.34,0,71.17,0.28
24/2/2021,PathumThani_Hub,Market_Consumer,27.62,0,71,0.28
25/2/2021,PathumThani_Hub,Market_Consumer,28.58,0,67.96,0.28
26/2/2021,PathumThani_Hub,Market_Consumer,28.6,0,58.04,0.27
27/2/2021,PathumThani_Hub,Market_Consumer,28.14,0,63.88,0.27
28/2/2021,PathumThani_Hub,Market_Consumer,27.69,0,72.88,0.27
1/3/2021,PathumThani_Hub,Market_Consumer,28.26,0.6,70.17,0.27
2/3/2021,PathumThani_Hub,Market_Consumer,28.88,2.3,73.79,0.27
3/3/2021,PathumThani_Hub,Market_Consumer,27.14,8.7,84.12,0.32
4/3/2021,PathumThani_Hub,Market_Consumer,27.85,1.6,77.75,0.38
5/3/2021,PathumThani_Hub,Market_Consumer,28.71,0.3,74.33,0.35
6/3/2021,PathumThani_Hub,Market_Consumer,29.12,0,71.54,0.32
7/3/2021,PathumThani_Hub,Market_Consumer,29.34,0,72.29,0.3
8/3/2021,PathumThani_Hub,Market_Consumer,28.76,1.6,73.92,0.3
9/3/2021,PathumThani_Hub,Market_Consumer,28.88,0.7,74.08,0.3
10/3/2021,PathumThani_Hub,Market_Consumer,28.66,0.7,74.92,0.3
11/3/2021,PathumThani_Hub,Market_Consumer,29.04,0.7,72.83,0.3
12/3/2021,PathumThani_Hub,Market_Consumer,29.87,0.2,68.46,0.29
13/3/2021,PathumThani_Hub,Market_Consumer,29.25,0.8,73.79,0.28
14/3/2021,PathumThani_Hub,Market_Consumer,29.12,0.4,73.62,0.28
15/3/2021,PathumThani_Hub,Market_Consumer,29.59,0.3,69.58,0.28
16/3/2021,PathumThani_Hub,Market_Consumer,29.42,0.1,70.75,0.28
17/3/2021,PathumThani_Hub,Market_Consumer,29.84,0.3,70.21,0.28
18/3/2021,PathumThani_Hub,Market_Consumer,30.2,0.1,69.29,0.28
19/3/2021,PathumThani_Hub,Market_Consumer,30.55,0.1,67.71,0.28
20/3/2021,PathumThani_Hub,Market_Consumer,30.48,0.2,66.96,0.27
21/3/2021,PathumThani_Hub,Market_Consumer,30.73,0,68.71,0.27
22/3/2021,PathumThani_Hub,Market_Consumer,28.19,17.3,75.33,0.38
23/3/2021,PathumThani_Hub,Market_Consumer,28.7,0,58.71,0.35
24/3/2021,PathumThani_Hub,Market_Consumer,29.7,0,60.42,0.32
25/3/2021,PathumThani_Hub,Market_Consumer,30.18,0,64.08,0.3
26/3/2021,PathumThani_Hub,Market_Consumer,30.02,0.4,72.33,0.29
27/3/2021,PathumThani_Hub,Market_Consumer,30.62,0,68.67,0.29
28/3/2021,PathumThani_Hub,Market_Consumer,30.75,0,67.67,0.28
29/3/2021,PathumThani_Hub,Market_Consumer,30.54,0,68.62,0.28
30/3/2021,PathumThani_Hub,Market_Consumer,31.02,0,66.58,0.28
31/3/2021,PathumThani_Hub,Market_Consumer,31.13,0.3,67.75,0.27
1/4/2021,PathumThani_Hub,Market_Consumer,31.07,0,67.67,0.27
