NakhonPathom_Meat_Temperature_C,PathumThani_Hub_Temperature_C,Phetchabun_High_Temperature_C,Ratchaburi_Veg_Temperature_C,NakhonPathom_Meat_Rainfall_mm,PathumThani_Hub_Rainfall_mm,Phetchabun_High_Rainfall_mm,Ratchaburi_Veg_Rainfall_mm,NakhonPathom_Meat_Humidity_Percent,PathumThani_Hub_Humidity_Percent,Phetchabun_High_Humidity_Percent,Ratchaburi_Veg_Humidity_Percent,NakhonPathom_Meat_Soil_Moisture,PathumThani_Hub_Soil_Moisture,Phetchabun_High_Soil_Moisture,Ratchaburi_Veg_Soil_Moisture,Day,Month,Year,DayOfWeek_Num,Date_Match,Diesel,Price_chicken,Price_chili,Price_coriander,Price_egg,Price_garlic,Price_lime,Price_onion,Price_peanut,Price_pork,Price_shallot,Price_shrimp,Price_spring_onion,Price_tamarind_juice
22.12,22.08,19.99,21.7,0.0,0.0,0.0,0.0,50.83,52.29,47.04,55.54,0.17,0.29,0.26,0.19,1,1,2021,4,2021-01-01,24.19,,,,,,,,,,,,,
22.67,22.73,19.56,22.27,0.0,0.0,0.0,0.0,52.29,52.92,48.83,56.33,0.17,0.29,0.26,0.19,2,1,2021,5,2021-01-02,24.19,,,,,,,,,,,,,
23.85,24.0,21.0,23.27,0.0,0.0,0.0,0.0,54.88,56.33,50.38,59.67,0.17,0.29,0.27,0.19,3,1,2021,6,2021-01-03,24.19,,,,,,,,,,,,,
25.2,25.47,23.21,24.61,0.0,0.0,0.0,0.0,57.83,58.04,56.58,62.04,0.16,0.29,0.26,0.18,4,1,2021,0,2021-01-04,24.19,62.5,,,3.05,82.5,2.25,,70.0,162.5,105.0,225.0,,95.0
26.45,26.65,24.98,25.99,0.0,0.0,0.0,0.0,60.62,58.83,58.67,64.17,0.16,0.29,0.26,0.18,5,1,2021,1,2021-01-05,24.19,62.5,,,3.05,82.5,2.25,,70.0,162.5,105.0,225.0,,95.0
27.02,27.16,25.67,26.57,0.0,0.0,0.0,0.0,65.5,63.83,60.5,69.21,0.16,0.28,0.26,0.18,6,1,2021,2,2021-01-06,24.19,62.5,,,3.05,82.5,2.25,,70.0,162.5,105.0,225.0,,95.0
26.88,26.94,26.03,26.21,0.0,0.0,0.0,0.3,64.96,64.75,61.08,71.46,0.16,0.28,0.26,0.18,7,1,2021,3,2021-01-07,24.19,62.5,,,3.05,82.5,2.25,,70.0,167.5,105.0,225.0,,95.0
26.68,26.6,25.25,26.06,0.0,0.0,0.0,0.0,66.54,63.62,56.42,72.29,0.16,0.28,0.27,0.19,8,1,2021,4,2021-01-08,24.19,62.5,,,3.05,82.5,2.25,,70.0,167.5,105.0,225.0,,95.0
24.12,23.93,21.97,23.75,0.0,0.0,0.0,0.0,58.96,59.83,55.88,65.58,0.16,0.28,0.26,0.2,9,1,2021,5,2021-01-09,24.49,,,,,,,,,,,,,
23.91,23.68,21.94,23.43,0.0,0.0,0.0,0.0,59.21,63.0,55.67,66.46,0.16,0.28,0.26,0.19,10,1,2021,6,2021-01-10,24.49,,,,,,,,,,,,,
23.74,23.52,22.06,23.26,0.0,0.0,0.0,0.0,61.08,61.0,53.21,68.96,0.16,0.27,0.26,0.18,11,1,2021,0,2021-01-11,24.49,62.5,,,3.05,82.5,2.25,,70.0,167.5,85.0,215.0,,95.0
20.9,20.67,18.77,20.7,0.0,0.0,0.0,0.0,47.29,50.12,36.92,53.29,0.18,0.29,0.26,0.18,12,1,2021,1,2021-01-12,24.49,62.5,,,3.05,82.5,2.25,,70.0,167.5,85.0,215.0,,95.0
20.32,20.64,19.35,20.2,0.0,0.0,0.0,0.0,47.46,46.62,46.67,50.88,0.17,0.28,0.26,0.17,13,1,2021,2,2021-01-13,24.49,62.5,,,3.25,82.5,2.25,,70.0,167.5,85.0,215.0,,95.0
22.14,22.45,21.8,21.4,0.0,0.0,0.0,0.0,58.04,55.21,60.67,63.71,0.17,0.28,0.27,0.17,14,1,2021,3,2021-01-14,24.89,62.5,,,3.25,82.5,2.25,,70.0,167.5,75.0,215.0,,95.0
23.04,23.63,22.98,22.46,0.0,0.0,0.0,0.0,66.04,64.08,61.62,67.33,0.16,0.28,0.28,0.16,15,1,2021,4,2021-01-15,24.89,62.5,,,3.25,82.5,2.25,,70.0,167.5,75.0,215.0,,95.0
23.88,24.43,23.88,23.36,0.0,0.0,0.0,0.0,69.04,70.88,57.79,71.21,0.16,0.27,0.27,0.16,16,1,2021,5,2021-01-16,25.29,,,,,,,,,,,,,
25.29,25.23,23.79,24.11,0.4,0.0,0.0,0.8,70.42,69.83,59.29,76.67,0.16,0.27,0.27,0.15,17,1,2021,6,2021-01-17,25.29,,,,,,,,,,,,,
23.19,23.29,22.16,23.35,0.0,0.0,0.0,0.0,59.92,56.17,47.12,62.79,0.17,0.27,0.27,0.16,18,1,2021,0,2021-01-18,25.29,62.5,,,3.25,82.5,2.25,,70.0,167.5,55.0,215.0,,95.0
22.03,22.0,20.87,21.45,0.0,0.0,0.0,0.0,54.58,53.38,50.21,60.29,0.17,0.27,0.26,0.16,19,1,2021,1,2021-01-19,25.09,62.5,,,3.25,82.5,2.25,,70.0,167.5,55.0,215.0,,95.0
21.95,23.22,21.38,21.73,0.0,0.0,0.0,0.0,61.5,57.17,53.12,64.88,0.17,0.27,0.26,0.17,20,1,2021,2,2021-01-20,25.09,62.5,,,3.25,82.5,2.25,,70.0,167.5,55.0,215.0,,95.0
22.59,23.76,22.18,22.08,0.0,0.0,0.0,0.0,64.42,57.62,57.92,65.0,0.17,0.26,0.27,0.16,21,1,2021,3,2021-01-21,25.09,62.5,,,3.25,82.5,2.25,,70.0,167.5,55.0,215.0,,95.0
23.71,24.38,23.53,23.23,0.0,0.0,0.0,0.0,63.33,62.17,53.79,64.79,0.17,0.27,0.26,0.16,22,1,2021,4,2021-01-22,25.09,62.5,,,3.25,82.5,2.25,,70.0,167.5,55.0,215.0,,95.0
24.7,25.49,24.38,24.13,0.0,0.0,0.0,0.0,64.5,61.21,52.79,66.21,0.17,0.27,0.26,0.16,23,1,2021,5,2021-01-23,25.09,,,,,,,,,,,,,
25.5,26.3,25.68,25.07,0.0,0.0,0.0,0.0,67.88,67.21,55.5,69.5,0.17,0.26,0.26,0.15,24,1,2021,6,2021-01-24,25.09,,,,,,,,,,,,,
26.34,27.13,26.19,25.58,0.0,0.1,0.0,0.0,75.12,72.67,54.58,77.0,0.17,0.26,0.26,0.15,25,1,2021,0,2021-01-25,25.09,62.5,,,3.25,82.5,2.25,,70.0,167.5,45.0,215.0,,95.0
27.16,27.85,26.82,26.45,0.2,0.0,0.0,0.7,73.17,70.17,53.0,73.62,0.16,0.26,0.26,0.15,26,1,2021,1,2021-01-26,25.09,62.5,,,3.25,82.5,2.25,,70.0,167.5,45.0,215.0,,95.0
27.27,28.45,26.62,27.48,1.4,0.0,0.0,0.5,77.42,70.29,56.0,74.38,0.17,0.26,0.26,0.15,27,1,2021,2,2021-01-27,25.09,62.5,,,3.05,82.5,2.25,,70.0,167.5,45.0,215.0,,95.0
27.39,28.51,27.48,27.4,0.3,0.0,0.0,0.2,77.04,67.96,55.17,76.96,0.17,0.26,0.27,0.16,28,1,2021,3,2021-01-28,25.09,62.5,,,3.05,82.5,2.25,,70.0,167.5,45.0,215.0,,95.0
27.0,27.3,25.74,26.94,0.0,0.0,0.0,0.0,64.08,54.21,50.17,70.17,0.16,0.26,0.27,0.15,29,1,2021,4,2021-01-29,25.09,62.5,,,3.05,82.5,2.25,,70.0,167.5,45.0,215.0,,95.0
26.83,26.86,23.99,26.58,0.0,0.0,0.0,0.0,63.92,57.46,56.46,65.12,0.17,0.26,0.27,0.15,30,1,2021,5,2021-01-30,25.09,,,,,,,,,,,,,
25.86,26.62,25.11,25.71,0.0,0.0,0.0,0.0,67.0,57.29,53.21,66.17,0.17,0.26,0.27,0.15,31,1,2021,6,2021-01-31,25.09,,,,,,,,,,,,,
26.39,27.55,25.89,26.09,0.0,0.0,0.0,0.0,63.96,55.88,56.29,63.96,0.17,0.27,0.27,0.14,1,2,2021,0,2021-02-01,25.09,62.5,,,3.05,82.5,2.25,35.0,70.0,167.5,35.0,215.0,,95.0
26.86,27.93,26.95,26.45,0.0,0.0,0.0,0.0,63.21,60.38,54.67,61.96,0.17,0.28,0.27,0.14,2,2,2021,1,2021-02-02,25.09,62.5,,,3.05,82.5,2.25,35.0,70.0,167.5,35.0,215.0,,85.0
26.99,28.19,27.57,26.52,0.0,0.0,0.0,0.0,64.42,57.0,52.29,65.38,0.16,0.27,0.26,0.14,3,2,2021,2,2021-02-03,25.09,62.5,,,3.05,82.5,2.25,35.0,70.0,167.5,35.0,215.0,,85.0
26.56,26.98,26.65,26.34,0.0,0.0,0.0,0.1,66.0,59.5,44.71,67.17,0.16,0.27,0.27,0.14,4,2,2021,3,2021-02-04,25.49,62.5,,,3.05,82.5,2.25,35.0,70.0,167.5,35.0,215.0,,85.0
25.72,26.59,25.61,25.48,0.0,0.0,0.0,0.0,57.0,49.17,51.08,60.83,0.17,0.27,0.27,0.14,5,2,2021,4,2021-02-05,25.49,62.5,,,3.05,82.5,2.25,35.0,70.0,167.5,35.0,215.0,,85.0
25.84,26.97,25.84,25.81,0.0,0.0,0.0,0.0,63.79,54.75,53.29,60.79,0.17,0.27,0.28,0.15,6,2,2021,5,2021-02-06,25.79,,,,,,,,,,,,,
26.5,27.88,26.7,26.53,0.1,0.0,0.0,0.2,68.04,58.67,51.08,66.71,0.17,0.26,0.27,0.15,7,2,2021,6,2021-02-07,25.79,,,,,,,,,,,,,
27.27,27.4,26.55,27.18,0.1,2.8,0.1,0.9,74.83,77.42,55.42,73.54,0.17,0.27,0.28,0.15,8,2,2021,0,2021-02-08,25.79,62.5,,,3.05,82.5,2.25,35.0,70.0,162.5,25.0,215.0,,87.5
26.2,25.56,23.2,25.74,3.4,11.3,14.9,8.1,81.29,82.88,80.38,83.67,0.17,0.41,0.32,0.18,9,2,2021,1,2021-02-09,25.79,62.5,,,3.05,82.5,2.25,35.0,70.0,162.5,25.0,215.0,,87.5
26.15,25.65,23.6,25.63,0.4,1.4,0.0,1.1,70.83,70.04,61.17,75.71,0.18,0.41,0.33,0.22,10,2,2021,2,2021-02-10,26.29,62.5,,,3.05,82.5,2.25,35.0,70.0,162.5,25.0,215.0,,87.5
25.71,25.56,24.06,25.55,0.0,0.0,0.0,0.0,69.67,63.08,56.08,71.29,0.17,0.38,0.32,0.21,11,2,2021,3,2021-02-11,26.29,62.5,,,3.05,82.5,2.25,35.0,70.0,162.5,25.0,215.0,,87.5
26.32,25.65,24.84,26.12,0.0,0.0,0.0,0.0,66.33,59.88,59.67,65.75,0.16,0.35,0.31,0.19,12,2,2021,4,2021-02-12,26.29,,,,,,,,,,,,,
26.67,26.43,25.52,26.38,0.0,0.0,0.0,0.0,64.96,64.29,57.67,64.5,0.15,0.32,0.3,0.17,13,2,2021,5,2021-02-13,26.29,,,,,,,,,,,,,
26.92,27.0,26.02,26.75,0.0,0.1,0.0,0.0,71.33,70.83,55.38,70.25,0.15,0.31,0.3,0.16,14,2,2021,6,2021-02-14,26.29,,,,,,,,,,,,,
26.99,26.67,26.1,26.81,0.0,0.9,0.0,0.0,70.21,73.67,58.62,69.21,0.14,0.3,0.3,0.15,15,2,2021,0,2021-02-15,26.29,62.5,,,3.05,82.5,2.25,35.0,70.0,162.5,25.0,215.0,,87.5
27.65,27.46,27.02,27.37,0.1,0.4,0.0,0.0,72.21,74.54,60.17,70.79,0.14,0.3,0.29,0.15,16,2,2021,1,2021-02-16,26.29,62.5,,,3.05,82.5,2.25,35.0,70.0,162.5,25.0,215.0,,87.5
27.22,27.3,26.92,26.95,1.5,4.4,0.0,1.8,78.71,78.67,54.58,76.75,0.14,0.3,0.29,0.15,17,2,2021,2,2021-02-17,26.79,62.5,,,3.05,82.5,2.25,35.0,70.0,162.5,25.0,215.0,,87.5
27.51,26.99,25.3,27.18,0.9,0.1,0.0,0.5,62.0,62.17,51.96,66.25,0.14,0.3,0.29,0.14,18,2,2021,3,2021-02-18,26.79,62.5,,,3.05,82.5,2.25,35.0,70.0,162.5,25.0,215.0,,87.5
26.67,26.42,24.15,25.88,0.0,0.0,0.0,0.0,48.42,48.92,52.46,54.38,0.15,0.3,0.28,0.14,19,2,2021,4,2021-02-19,26.79,62.5,,,3.05,82.5,2.25,35.0,70.0,162.5,25.0,215.0,,87.5
25.95,25.62,24.05,25.25,0.0,0.0,0.0,0.0,52.0,51.83,53.79,56.5,0.15,0.29,0.28,0.14,20,2,2021,5,2021-02-20,26.99,,,,,,,,,,,,,
25.57,25.79,24.99,25.25,0.0,0.0,0.0,0.0,61.67,57.21,53.25,60.0,0.15,0.3,0.28,0.14,21,2,2021,6,2021-02-21,26.99,,,,,,,,,,,,,
26.47,26.43,26.3,25.93,0.0,0.0,0.0,0.0,62.71,68.62,57.62,61.96,0.14,0.29,0.28,0.14,22,2,2021,0,2021-02-22,26.99,62.5,,,3.05,92.5,2.25,35.0,70.0,162.5,25.0,215.0,,87.5
26.92,27.34,27.22,26.3,0.0,0.0,0.1,0.0,67.04,71.17,59.04,68.62,0.14,0.28,0.28,0.13,23,2,2021,1,2021-02-23,26.99,62.5,,,3.05,92.5,2.25,35.0,70.0,162.5,25.0,215.0,,87.5
27.3,27.62,28.09,27.03,0.0,0.0,0.0,0.0,67.21,71.0,58.04,64.79,0.13,0.28,0.27,0.13,24,2,2021,2,2021-02-24,26.99,62.5,,,3.05,92.5,2.25,35.0,70.0,162.5,25.0,215.0,,87.5
29.05,28.58,27.96,28.78,0.0,0.0,0.0,0.0,58.08,67.96,56.21,57.83,0.13,0.28,0.27,0.13,25,2,2021,3,2021-02-25,26.99,62.5,,,3.05,92.5,2.25,35.0,,162.5,25.0,215.0,,87.5
28.44,28.6,27.99,28.18,0.0,0.0,0.0,0.0,52.38,58.04,46.88,54.58,0.13,0.27,0.27,0.13,26,2,2021,4,2021-02-26,26.99,,,,,,,,,,,,,
27.8,28.14,27.47,27.51,0.0,0.0,0.0,0.0,59.0,63.88,46.67,62.92,0.13,0.27,0.27,0.13,27,2,2021,5,2021-02-27,26.99,,,,,,,,,,,,,
27.01,27.69,28.44,26.8,0.0,0.0,0.0,0.0,74.58,72.88,45.21,72.92,0.13,0.27,0.26,0.13,28,2,2021,6,2021-02-28,26.99,,,,,,,,,,,,,
