Date,Day_Name,Month_Name,Year,Important_Events,Day_Type,Important_Days
1/1/2021,Friday,January,2021,New Year's Day,Yes,1
2/1/2021,Saturday,January,2021,,Weekend,0
3/1/2021,Sunday,January,2021,,Weekend,0
4/1/2021,Monday,January,2021,,No,0
5/1/2021,Tuesday,January,2021,,No,0
6/1/2021,Wednesday,January,2021,,No,0
7/1/2021,Thursday,January,2021,,No,0
8/1/2021,Friday,January,2021,,No,0
9/1/2021,Saturday,January,2021,National Children's Day,Yes,1
10/1/2021,Sunday,January,2021,,Weekend,0
11/1/2021,Monday,January,2021,,No,0
12/1/2021,Tuesday,January,2021,,No,0
13/1/2021,Wednesday,January,2021,,No,0
14/1/2021,Thursday,January,2021,,No,0
15/1/2021,Friday,January,2021,,No,0
16/1/2021,Saturday,January,2021,Teachers' Day,Yes,1
17/1/2021,Sunday,January,2021,,Weekend,0
18/1/2021,Monday,January,2021,Royal Thai Armed Forces Day,Yes,1
19/1/2021,Tuesday,January,2021,,No,0
20/1/2021,Wednesday,January,2021,,No,0
21/1/2021,Thursday,January,2021,,No,0
22/1/2021,Friday,January,2021,,No,0
23/1/2021,Saturday,January,2021,,Weekend,0
24/1/2021,Sunday,January,2021,,Weekend,0
25/1/2021,Monday,January,2021,,No,0
26/1/2021,Tuesday,January,2021,,No,0
27/1/2021,Wednesday,January,2021,,No,0
28/1/2021,Thursday,January,2021,,No,0
29/1/2021,Friday,January,2021,,No,0
30/1/2021,Saturday,January,2021,,Weekend,0
31/1/2021,Sunday,January,2021,,Weekend,0
1/2/2021,Monday,February,2021,,No,0
2/2/2021,Tuesday,February,2021,,No,0
3/2/2021,Wednesday,February,2021,,No,0
4/2/2021,Thursday,February,2021,,No,0
5/2/2021,Friday,February,2021,,No,0
6/2/2021,Saturday,February,2021,,Weekend,0
7/2/2021,Sunday,February,2021,,Weekend,0
8/2/2021,Monday,February,2021,,No,0
9/2/2021,Tuesday,February,2021,,No,0
10/2/2021,Wednesday,February,2021,Chinese New Year (Shopping Day),Yes,1
11/2/2021,Thursday,February,2021,Chinese New Year (Worship Day),Yes,1
12/2/2021,Friday,February,2021,Chinese New Year (Special Public Holiday),Yes,1
13/2/2021,Saturday,February,2021,,Weekend,0
14/2/2021,Sunday,February,2021,,Weekend,0
15/2/2021,Monday,February,2021,,No,0
16/2/2021,Tuesday,February,2021,,No,0
17/2/2021,Wednesday,February,2021,,No,0
18/2/2021,Thursday,February,2021,,No,0
19/2/2021,Friday,February,2021,,No,0
20/2/2021,Saturday,February,2021,,Weekend,0
21/2/2021,Sunday,February,2021,,Weekend,0
22/2/2021,Monday,February,2021,,No,0
23/2/2021,Tuesday,February,2021,,No,0
24/2/2021,Wednesday,February,2021,,No,0
25/2/2021,Thursday,February,2021,,No,0
26/2/2021,Friday,February,2021,Makha Bucha Day,Yes,1
27/2/2021,Saturday,February,2021,,Weekend,0
28/2/2021,Sunday,February,2021,,Weekend,0
1/3/2021,Monday,March,2021,,No,0
